naziv,postna_stevilka,drzava
Šmarje – Sap,1293,SI
Šmarje pri Jelšah,3240,SI
Šmarješke Toplice,8220,SI
Šmartno na Pohorju,2315,SI
Šmartno ob Dreti,3341,SI
Šmartno ob Paki,3327,SI
Šmartno pri Litiji,1275,SI
Šmartno pri Slovenj Gradcu,2383,SI
Šmartno v Rožni dolini,3201,SI
Šoštanj,3325,SI
Štanjel,6222,SI
Štore,3220,SI
Tabor,3304,SI
Teharje,3221,SI
Tišina,9251,SI
Tolmin,5220,SI
Topolšica,3326,SI
Trbonje,2371,SI
Trbovlje,1420,SI
Trebelno,8231,SI
Trebnje,8210,SI
Trnovo pri Gorici,5252,SI
Trnovska vas,2254,SI
Trojane,1222,SI
Trzin,1236,SI
Tržič,4290,SI
Tržišče,8295,SI
Turjak,1311,SI
Turnišče,9224,SI
Uršna sela,8323,SI
Vače,1252,SI
Velenje,3320,SI
Velenje – P.P.,3322,SI
Velika Loka,8212,SI
Velika Nedelja,2274,SI
Velika Polana,9225,SI
Velike Lašče,1315,SI
Veliki Gaber,8213,SI
Veržej,9241,SI
Videm – Dobrepolje,1312,SI
Videm pri Ptuju,2284,SI
Vinica,8344,SI
Vipava,5271,SI
Visoko,4212,SI
Višnja Gora,1294,SI
Vitanje,3205,SI
Vitomarci,2255,SI
Vodice,1217,SI
Vojnik,3212,SI
Volčja Draga,5293,SI
Voličina,2232,SI
Vransko,3305,SI
Vremski Britof,6217,SI
Vrhnika,1360,SI
Vuhred,2365,SI
Vuzenica,2367,SI
Zabukovje,8292,SI
Zagorje ob Savi,1410,SI
Zagradec,1303,SI
Zavrc,2283,SI
Zdole,8272,SI
Zgornja Besnica,4201,SI
Zgornja Korena,2242,SI
Zgornja Kungota,2201,SI
Zgornja Ložnica,2316,SI
Zgornja Polskava,2314,SI
Zgornja Velka,2213,SI
Zgornje Gorje,4247,SI
Zgornje Jezersko,4206,SI
Zgornji Leskovec,2285,SI
Zidani Most,1432,SI
Zreče,3214,SI
Žabnica,4209,SI
Žalec,3310,SI
Železniki,4228,SI
Žetale,2287,SI
Žiri,4226,SI
Žirovnica,4274,SI
Žužemberk,8360,SI
