oznaka,povrsina_tlorisna_neto,lastniski_delez,st_oseb,elaborat
15980,10.00,0.0004,0,598
15990,10.00,0.0004,0,599
16000,10.00,0.0004,0,600
16010,10.00,0.0004,0,601
16020,10.00,0.0004,0,602
16030,10.00,0.0004,0,603
16040,10.00,0.0004,0,604
16050,10.00,0.0004,0,605
16060,10.00,0.0004,0,606
16070,10.00,0.0004,0,607
16080,10.00,0.0004,0,608
16090,10.00,0.0004,0,609
16100,10.00,0.0004,0,610
16110,10.00,0.0004,0,611
16120,10.00,0.0004,0,612
16130,10.00,0.0004,0,613
16140,10.00,0.0004,0,614
16150,10.00,0.0004,0,615
16160,10.00,0.0004,0,616
16170,10.00,0.0004,0,617
16180,10.00,0.0004,0,618
16190,10.00,0.0004,0,619
16200,10.00,0.0004,0,620
16210,3.00,0.0001,0,621
16220,10.00,0.0004,0,622
16230,15.00,0.0006,0,623
16240,15.00,0.0006,0,624
16250,15.00,0.0006,0,625
16260,10.00,0.0004,0,626
16270,15.00,0.0006,0,627
16280,15.00,0.0006,0,628
16290,15.00,0.0006,0,629
16300,15.00,0.0006,0,630
16310,15.00,0.0006,0,631
16320,3.00,0.0001,0,632
16330,3.00,0.0001,0,633
16340,10.00,0.0004,0,634
16350,10.00,0.0004,0,635
16360,10.00,0.0004,0,636
16370,10.00,0.0004,0,637
16380,10.00,0.0004,0,638
16390,10.00,0.0004,0,639
16400,10.00,0.0004,0,640
16410,10.00,0.0004,0,641
16420,10.00,0.0004,0,642
16430,10.00,0.0004,0,643
16440,3.00,0.0001,0,644
16450,3.00,0.0001,0,645
16460,10.00,0.0004,0,646
16470,10.00,0.0004,0,647
16480,10.00,0.0004,0,648
16490,10.00,0.0004,0,649
16500,10.00,0.0004,0,650
16510,10.00,0.0004,0,651
16520,10.00,0.0004,0,652
16530,10.00,0.0004,0,653
16540,10.00,0.0004,0,654
16550,10.00,0.0004,0,655
16560,10.00,0.0004,0,656
16570,10.00,0.0004,0,657
16580,10.00,0.0004,0,658
16590,10.00,0.0004,0,659
16600,10.00,0.0004,0,660
16610,10.00,0.0004,0,661
16620,3.00,0.0001,0,662
16630,3.00,0.0001,0,663
16640,3.00,0.0001,0,664
16650,3.00,0.0001,0,665
16660,10.00,0.0004,0,666
16670,10.00,0.0004,0,667
16680,10.00,0.0004,0,668
16690,10.00,0.0004,0,669
16700,10.00,0.0004,0,670
16710,3.00,0.0001,0,671
16720,10.00,0.0004,0,672
16730,10.00,0.0004,0,673
16740,10.00,0.0004,0,674
16750,10.00,0.0004,0,675
16760,10.00,0.0004,0,676
16770,10.00,0.0004,0,677
16780,10.00,0.0004,0,678
16790,10.00,0.0004,0,679
16800,10.00,0.0004,0,680
16810,10.00,0.0004,0,681
16820,10.00,0.0004,0,682
16830,10.00,0.0004,0,683
16840,10.00,0.0004,0,684
16850,10.00,0.0004,0,685
16860,10.00,0.0004,0,686
16870,10.00,0.0004,0,687
16880,10.00,0.0004,0,688
16890,10.00,0.0004,0,689
16900,10.00,0.0004,0,690
16910,10.00,0.0004,0,691
16920,10.00,0.0004,0,692
16930,10.00,0.0004,0,693
16940,10.00,0.0004,0,694
16950,10.00,0.0004,0,695
16960,10.00,0.0004,0,696
16970,10.00,0.0004,0,697
16980,10.00,0.0004,0,698
16990,10.00,0.0004,0,699
17000,10.00,0.0004,0,700
17010,10.00,0.0004,0,701
17020,10.00,0.0004,0,702
17030,10.00,0.0004,0,703
17040,10.00,0.0004,0,704
17060,10.00,0.0004,0,706
17070,10.00,0.0004,0,707
17080,161.77,0.0014,0,708
17090,44.53,0.0019,0,709
17100,7.54,0.0003,0,710
10801,213.00,0.0090,0,80
