oznaka,naslov,posta,program,opis,povrsina_tlorisna_neto,lastniski_delez
444,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
445,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
446,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
447,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
448,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
449,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
450,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
451,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
452,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
453,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
454,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
455,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
456,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
457,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
458,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
459,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
460,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
461,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
462,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
463,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
464,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
465,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
466,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
467,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
468,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
469,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
470,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
471,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
472,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
473,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
474,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
475,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
476,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
477,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
478,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
479,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
480,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
481,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
482,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
483,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
484,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
485,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
486,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
487,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
488,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
489,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
490,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
491,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
492,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
493,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
494,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
495,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
496,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
497,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
498,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
499,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
500,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
501,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
502,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
503,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
504,Delpinova ulica 18 B,5000,PARK,Parkirno mesto ,10.00,0.0004
